date,time,weather_humidity,weather_temperature,soil_moisture,water_level,soil_temperature,soil_conductivity,soil_ph,soil_nitrogen,soil_phosporus,soil_potasium
06/06/2024,19:29:03,weather_humidity:42.00,weather_temperature:30.00,soil_moisture:100.00,water_level:32.63,temperature:27.60,conductivity:217,ph:5.00,nitrogen:60,phosporus:185,potasium:178
06/06/2024,19:29:09,weather_humidity:42.00,weather_temperature:30.00,soil_moisture:100.00,water_level:25.66,temperature:27.60,conductivity:217,ph:5.00,nitrogen:60,phosporus:185,potasium:178
06/06/2024,19:31:03,weather_humidity:41.00,weather_temperature:30.00,soil_moisture:100.00,water_level:34.95,temperature:27.60,conductivity:217,ph:5.00,nitrogen:60,phosporus:185,potasium:178
06/06/2024,19:31:09,weather_humidity:41.00,weather_temperature:30.00,soil_moisture:100.00,water_level:34.95,temperature:27.60,conductivity:217,ph:5.00,nitrogen:60,phosporus:185,potasium:178
06/06/2024,19:32:06,weather_humidity:40.00,weather_temperature:30.00,soil_moisture:100.00,water_level:27.98,temperature:27.60,conductivity:217,ph:5.00,nitrogen:60,phosporus:185,potasium:178
06/06/2024,19:33:02,weather_humidity:40.00,weather_temperature:30.00,soil_moisture:100.00,water_level:32.63,temperature:27.60,conductivity:217,ph:5.00,nitrogen:60,phosporus:185,potasium:178
06/06/2024,19:33:08,weather_humidity:40.00,weather_temperature:30.00,soil_moisture:100.00,water_level:32.63,temperature:27.60,conductivity:217,ph:5.00,nitrogen:60,phosporus:185,potasium:178
06/06/2024,19:34:02,weather_humidity:40.00,weather_temperature:30.00,soil_moisture:100.00,water_level:30.31,temperature:27.60,conductivity:217,ph:5.10,nitrogen:60,phosporus:185,potasium:178
06/06/2024,19:34:08,weather_humidity:40.00,weather_temperature:30.00,soil_moisture:100.00,water_level:30.31,temperature:27.60,conductivity:217,ph:5.10,nitrogen:60,phosporus:185,potasium:178
06/06/2024,19:35:07,weather_humidity:40.00,weather_temperature:30.00,soil_moisture:100.00,water_level:30.31,temperature:27.60,conductivity:217,ph:5.00,nitrogen:60,phosporus:185,potasium:178
06/06/2024,19:36:07,weather_humidity:40.00,weather_temperature:30.00,soil_moisture:100.00,water_level:30.31,temperature:27.60,conductivity:217,ph:5.00,nitrogen:60,phosporus:185,potasium:178
06/06/2024,19:37:03,weather_humidity:40.00,weather_temperature:30.00,soil_moisture:100.00,water_level:30.31,temperature:27.60,conductivity:217,ph:5.00,nitrogen:60,phosporus:185,potasium:178
06/06/2024,19:38:09,weather_humidity:40.00,weather_temperature:30.00,soil_moisture:100.00,water_level:27.98,temperature:27.60,conductivity:217,ph:5.10,nitrogen:60,phosporus:185,potasium:178
06/06/2024,19:39:03,weather_humidity:40.00,weather_temperature:30.00,soil_moisture:100.00,water_level:32.63,temperature:27.60,conductivity:217,ph:5.10,nitrogen:60,phosporus:185,potasium:178
06/06/2024,19:40:05,weather_humidity:40.00,weather_temperature:30.00,soil_moisture:100.00,water_level:30.31,temperature:27.60,conductivity:217,ph:5.20,nitrogen:60,phosporus:185,potasium:178
06/06/2024,19:40:11,weather_humidity:40.00,weather_temperature:30.00,soil_moisture:100.00,water_level:32.63,temperature:27.60,conductivity:217,ph:5.20,nitrogen:60,phosporus:185,potasium:178
06/06/2024,19:42:06,weather_humidity:41.00,weather_temperature:29.00,soil_moisture:100.00,water_level:30.31,temperature:27.60,conductivity:217,ph:5.10,nitrogen:60,phosporus:185,potasium:178
06/06/2024,19:43:06,weather_humidity:41.00,weather_temperature:29.00,soil_moisture:100.00,water_level:30.31,temperature:27.60,conductivity:217,ph:5.10,nitrogen:60,phosporus:185,potasium:178
06/06/2024,19:45:02,weather_humidity:41.00,weather_temperature:29.00,soil_moisture:100.00,water_level:30.31,temperature:27.50,conductivity:217,ph:5.10,nitrogen:60,phosporus:185,potasium:178
06/06/2024,19:45:08,weather_humidity:41.00,weather_temperature:29.00,soil_moisture:100.00,water_level:30.31,temperature:27.50,conductivity:217,ph:5.10,nitrogen:60,phosporus:185,potasium:178
06/06/2024,19:46:05,weather_humidity:41.00,weather_temperature:29.00,soil_moisture:100.00,water_level:30.31,temperature:27.60,conductivity:217,ph:5.10,nitrogen:60,phosporus:185,potasium:178
06/06/2024,19:46:11,weather_humidity:41.00,weather_temperature:29.00,soil_moisture:100.00,water_level:30.31,temperature:27.50,conductivity:217,ph:5.10,nitrogen:60,phosporus:185,potasium:178
06/06/2024,19:47:06,weather_humidity:41.00,weather_temperature:29.00,soil_moisture:100.00,water_level:30.31,temperature:27.50,conductivity:217,ph:4.50,nitrogen:60,phosporus:185,potasium:178
06/06/2024,19:48:05,weather_humidity:41.00,weather_temperature:29.00,soil_moisture:100.00,water_level:30.31,temperature:27.50,conductivity:217,ph:4.40,nitrogen:60,phosporus:185,potasium:178
06/06/2024,19:49:01,weather_humidity:41.00,weather_temperature:29.00,soil_moisture:100.00,water_level:30.31,temperature:27.50,conductivity:217,ph:4.30,nitrogen:60,phosporus:185,potasium:178
06/06/2024,19:49:07,weather_humidity:41.00,weather_temperature:29.00,soil_moisture:100.00,water_level:30.31,temperature:27.50,conductivity:217,ph:4.30,nitrogen:60,phosporus:185,potasium:178
06/06/2024,19:51:06,weather_humidity:71.00,weather_temperature:31.00,soil_moisture:100.00,water_level:25.66,temperature:27.50,conductivity:217,ph:4.30,nitrogen:60,phosporus:185,potasium:178
